old_name,new_name
-1,-1
2methylbutyrate,2methylbutyrate
acetate,acetate
acetate ,acetate
aminoacids,aminoacids
aminobenzoate,aminobenzoate
b12,b12
biotin,biotin
branched-chain,branched-chain
ca,ca
casamino acids,casamino acid
casitone,casitone
co,co
co2,co2
coenzyme m,coenzyme m
coenzym m,coenzyme m
co-m,coenzyme m
ethanol,ethanol
fe,fe
h2,h2
heavy metal solution,heavy metal solution
isoleucine,isoleucine
leucine,leucine
mb medium,mb medium
methanol,methanol
mg,mg
na2s,na2s
nacl,nacl
ni,ni
none,none
no data,no data
nutrient broth,nutrient broth
or vitamins for growth ,vitamins
peptone,peptone
peptones,peptone
propionate,propionate
riboflavin,riboflavin
rumen fluid,rumen fluid
rumen fuid,rumen fluid
seo4,seo4
thiamin,thiamine
thiamine,thiamine
trace element solution,trace element solution
tripticase,tripticase
tripticase peptone,tripticase peptone
trypticase,tripticase
tryptone,tryptone
tungstate,tungstate
tungsten,tungsten
unidentified,unknown
vitamins,vitamins
vitamin b12,b12
yeast extract,yeast extract
yest extract,yeast extract
