"organism";"seq";"address"
"Methanobacterium aarhusense";"AY386125.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY386125.1"
"Methanobacterium aarhusense";"NR_042895.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_042895.1"
"Methanobacterium aarhusense";"KF881997.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF881997.1"
"Methanobacterium aarhusense";"AY386124.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY386124.1"
"Methanobacterium aarhusense";"DQ649334.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649334.1"
"Methanobacterium alcaliphilum";"NR_112910.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_112910.1"
"Methanobacterium alcaliphilum";"NR_028228.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028228.1"
"Methanobacterium alcaliphilum";"KF882006.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882006.1"
"Methanobacterium alcaliphilum";"AB842184.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB842184.1"
"Methanobacterium alcaliphilum";"AB842183.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB842183.1"
"Methanobacterium alcaliphilum";"AB542746.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542746.1"
"Methanobacterium alcaliphilum";"AB496639.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB496639.1"
"Methanobacterium alcaliphilum";"DQ649335.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649335.1"
"Methanobacterium arcticum";"NZ_JQKN00000000.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN00000000.1"
"Methanobacterium arcticum";"NZ_KN050803.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_KN050803.1"
"Methanobacterium arcticum";"NZ_KN050802.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_KN050802.1"
"Methanobacterium arcticum";"NZ_JQKN01000038.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000038.1"
"Methanobacterium arcticum";"NZ_JQKN01000037.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000037.1"
"Methanobacterium arcticum";"NZ_JQKN01000036.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000036.1"
"Methanobacterium arcticum";"NZ_JQKN01000035.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000035.1"
"Methanobacterium arcticum";"NZ_JQKN01000034.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000034.1"
"Methanobacterium arcticum";"NZ_JQKN01000033.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000033.1"
"Methanobacterium arcticum";"NZ_JQKN01000032.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000032.1"
"Methanobacterium arcticum";"NZ_JQKN01000031.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000031.1"
"Methanobacterium arcticum";"NZ_JQKN01000030.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000030.1"
"Methanobacterium arcticum";"NZ_JQKN01000029.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000029.1"
"Methanobacterium arcticum";"NZ_JQKN01000028.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000028.1"
"Methanobacterium arcticum";"NZ_JQKN01000027.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000027.1"
"Methanobacterium arcticum";"NZ_JQKN01000026.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000026.1"
"Methanobacterium arcticum";"NZ_JQKN01000025.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000025.1"
"Methanobacterium arcticum";"NZ_JQKN01000024.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000024.1"
"Methanobacterium arcticum";"NZ_JQKN01000023.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000023.1"
"Methanobacterium arcticum";"NZ_JQKN01000022.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQKN01000022.1"
"Methanobacterium beijingense";"KX926562.1";"https://www.ncbi.nlm.nih.gov/nuccore/KX926562.1"
"Methanobacterium beijingense";"EF465106.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465106.1"
"Methanobacterium beijingense";"KX261414.1";"https://www.ncbi.nlm.nih.gov/nuccore/KX261414.1"
"Methanobacterium beijingense";"KP109878.1";"https://www.ncbi.nlm.nih.gov/nuccore/KP109878.1"
"Methanobacterium beijingense";"NR_028202.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028202.1"
