"old_name","new_name","original_record","Name"
"-1","???","-1","Methanosarcina acetivorans"
"acetate","acetate","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"(acetate)","acetate","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"Acetate","acetate","Acetate and yeast extract","Methanospirillum stamsii"
"Acetyate","acetate","Acetyate, cysteine","Methanobacterium formicicum"
"aminoacids","aminoacids","biotin, aminoacids","Methanosphaera stadtmanae"
"a trimethylamine","trimethylamine","H2/C02, methanol; mono-, di-, a trimethylamine, acetate,  CO/H2","Methanosarcina barkeri"
"biotin","biotin","biotin, aminoacids","Methanosphaera stadtmanae"
"C02","C02","H2/C02, methanol; mono-, di-, a trimethylamine, acetate,  CO/H2","Methanosarcina barkeri"
"casamino acids","casamino acids","yeast extract, casamino acids, tripticase, selenite, tungsten","Methanocaldococcus fervens"
"CO","CO","H2/C02, methanol; mono-, di-, a trimethylamine, acetate,  CO/H2","Methanosarcina barkeri"
"CoM","CoM","yeast extract, CoM, acetate","Methanoculleus horonobensis"
"cysteine","cysteine","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"di-","dimethylamine","H2/C02, methanol; mono-, di-, a trimethylamine, acetate,  CO/H2","Methanosarcina barkeri"
"easyt extract","yeast extract","easyt extract","Methanocella arvoryzae"
"Fe","Fe","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"Fe2O3","Fe2O3","selenium, Fe2O3","Methanothermococcus okinawensis"
"generally organic compounds","generally organic compounds","generally organic compounds","Methanobrevibacter arboriphilus"
"H2","H2","methanol+H2","Methanomicrococcus blatticola"
"HS-coM ","HS-coenzyme M","HS-coM ","Methermicoccus shengliensis"
"methanethiol","methanethiol","methanethiol","Methanosarcina semesiae"
"methanol","methanol","methanol+H2","Methanomicrococcus blatticola"
"methylamine","methylamine","methanol, methylamine, (acetate)","Methanosarcina baltica"
"microelement solution","microelement solution","tungsten, microelement solution","Methanocalculus taiwanensis"
"mono-","monomethylamine","H2/C02, methanol; mono-, di-, a trimethylamine, acetate,  CO/H2","Methanosarcina barkeri"
"Ni","Ni","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"no","none","no data","Methanobacterium aarhusense"
"none","none","none","Methanobrevibacter thaueri"
"None","none","None","Methanobacterium subterraneum"
"no data","no data","no data","Methanobacterium aarhusense"
"pantoyllacetone","pantolactone","pantoyllacetone","Methanococcus voltae"
"peptone","peptone","yeast extract, peptone","Methanogenium frigidum"
"peptones ","peptone ","yeast extract,peptones ","Methanolobus bombayensis"
"potasium","K","potasium, tungsten","Methanoculleus palmolei"
"rument fluid","rumen fluid","trypticase, peptone, yeast extract, rument fluid","Methanosalsum zhilinae"
"rumen fluid","rumen fluid","rumen fluid","Methanocorpusculum parvum"
"selenate","selenate","selenate, tungsten, yeast extract","Methanocaldococcus indicus"
"selenite","selenite","yeast extract, casamino acids, tripticase, selenite, tungsten","Methanocaldococcus fervens"
"selenium","Se","selenium, Fe2O3","Methanothermococcus okinawensis"
"Selenium","Se","Selenium","Methanocaldococcus jannaschii"
"tripticase","trypticase","yeast extract, casamino acids, tripticase, selenite, tungsten","Methanocaldococcus fervens"
"trypticase","trypticase","trypticase, peptone, yeast extract, rument fluid","Methanosalsum zhilinae"
"tungsten","tungsten","tungsten","Methanocalculus chunghsingensis"
"Vitamins","vitamins","Vitamins","Methanobacterium espanolae"
"W","tryptophan","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"yeast extract","yeast extract","yeast extract","Methanobacterium thermaggregans"
"Yeast extract","yeast extract","Yeast extract, acetate, cysteine, Fe, W, Ni","Methanobacterium bryantii"
"yest extract","yeast extract","yest extract","Methanosaeta pelagica"
