Name,correct publication,correct publication link
Methanobacterium aarhusense,"A.Shlimon et al., 2004, Int. J. Syst. Evol. Microbiol., vol. 54, p. 759",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02994-0
Methanobacterium alcaliphilum,"S. Worakit et al., 1986, Int. J. Syst. Bacteriol., vol. 36, p. 380",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-36-3-380
Methanobacterium arcticum,"V. Shcherbakova et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 144",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.021311-0
Methanobacterium beijingense,"K. Ma et al., 2005, Int. J. Syst. Evol. Microbiol., vol. 55, p. 325",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63254-0
Methanobacterium bryantii,"W. Balch et al., 1979, Microbiol. Rev., vol. 43, p. 260",http://mmbr.asm.org/content/43/2/260.long
Methanobacterium congolense,"N. Cuzin et al., 2001, Int. J. Syst. Evol. Microbiol., vol. 51, p. 489",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-51-2-489
Methanobacterium espanolae,"G. Patel et al., 1990, Int. J. Syst. Bacteriol., vol. 40, p. 12",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-40-1-12
Methanobacterium ferruginis,"K. Mori et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 138",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.022723-0
Methanobacterium flexile," J. Zhu et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 2974",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.027540-0
Methanobacterium formicicum,"M. Bryant et al., 1987, Int. J. Syst. Bacteriol., vol. 37, p. 171",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-37-2-171
Methanobacterium ivanovii,"M. Jain et al., 1987, Syst. Appl. Microbiol., vol. 9, p. 77",http://www.sciencedirect.com/science/article/pii/S0723202087800590
Methanobacterium kanagiense,"K. Kitamura et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 1246",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.026013-0
Methanobacterium lacus,"G. Borrel et al., 2012, Int. J. Syst. Evol. Microbiol., vol. 62, p. 1625",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.034538-0
Methanobacterium movens,"J. Zhu et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 2974",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.027540-0
Methanobacterium movilense,"J. Schirmack et al., 2014, Int. J. Syst. Evol. Microbiol., vol. 64, p. 522",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057224-0
Methanobacterium oryzae,"C. Joulian et al., 2000, Int. J. Syst. Evol. Microbiol., vol. 50, p. 525",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-2-525
Methanobacterium palustre,"G. Zellner et al., 1988, Arch. Microbiol., vol. 151, p. 1",https://link.springer.com/article/10.1007%2FBF00444660
Methanobacterium petrolearium,"K. Mori et al., 2011, Int. J. Syst. Evol. Microbiol., vol. 61, p. 138",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.022723-0
Methanobacterium subterraneum,"S. Kotelnikova et al., 1998, Int. J. Syst. Evol. Microbiol., vol. 48, p. 357",http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-2-357
Methanobacterium thermaggregans,"K. Blotevogel et al., 1985, Arch. Microbiol., vol. 142, p. 218",https://link.springer.com/article/10.1007%2FBF00693393
Methanobacterium uliginosum,"H. Konig, 1984, Can. J. Microbiol., vol. 30, p. 1477",http://www.nrcresearchpress.com/doi/abs/10.1139/m84-235#.WVEUt-vyi01
