Name| 1butanol| 2-butanol| 2methylpropan1ol| 2propanol| acetate| AdditionalGrowthRequierments| author| butanol| carbonMonoxide| cellShape| creator| creatorMail| cyclopentanol| descriptionEnv| dimethylamin| dimethylSulfide| ethanol| formate| gramReaction| GrowthDoublingTime| GrowthRate| h2Andco2| h2andmethanol| intestinalTracksEnv| link| maximalGrowthTemperature| maximumcellGcContent| maximumcellLength| maximumcellWidth| maximumGrowthNACL| maximumGrowthPH| methanol| methylamin| minimalGrowthTemperature| minimumcellGcContent| minimumcellLength| minimumcellWidth| minimumGrowthNACL| minimumGrowthPH| MinimumGrowthRequierments| nomenclaturalPublication| numberPublications| optimalGrowthNACLMaximal| optimalGrowthNACLMinimal| optimalGrowthPHMaximal| optimalGrowthPHMinimal| optimalGrowthTemperatureMaximal| optimalGrowthTemperatureMinimal| otherATTCStrainNumbers| otherCollections| otherDSMStrainNumbers| otherEnv| otherSubstrate| pmidPublication| propanol| propionate| reactorsEnv| soilEnv| trimethylamin| typeStrain| volcanicEnv| waterEnv| 
Methanobacterium aarhusense| no data| no data| no data| do not feed on| do not feed on| no data| A.Shlimon et al.; 2004; Int. J. Syst. Evol. Microbiol.; vol. 54; p. 759| no data| do not feed on| Rod| positive| yes| no data| Sediment cores collected in Aarhus Bay, a semi-enclosed embayment on the east coast of Jutland, Denmark (56° 09' N, 10° 19' E) | no data| do not feed on| do not feed on| do not feed on| positive| no data| no data| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/54/3/759.abstract| 45| absent| 18| 0.7| 0.9| 9| do not feed on| not determined| 15| 34.9| 5| 0.7| 0.05| 6| no data| no data| no| 0.9| 0.05| 8| 7.5| 45| 45| ATCC BAA-828| ATCC BAA-828| DSM-15219| no data| not supporting:methane tiol| A.Shlimon et al.| no data| not determined| not applicable| not applicable| do not feed on| H2-LR| not applicable| yes| 
Methanobacterium alcaliphilum| no data| no data| no data| no data| do not feed on| no data| S. Worakit et al.; 1986; Int. J. Syst. Bacteriol.; vol. 36; p. 380| no data| no data| Rod| negative| yes| no data| Sediment samples collected from four Egyptian lakes of the Wadi el Natrun.| no data| no data| no data| do not feed on| negative| 10.2| 0.068| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/36/3/380.abstract| 45| not determined| 25| 0.6| no data| 9.9| not determined| no data| 25| 57| 2| 0.5| 0| 7| tripticase peptone/yeast extract| no data| no| 0.012| 0.012| 9.1| 8.1| 37| 37| ATCC 43379, NBRC 105226, OCM 11| ATCC 43379, NBRC 105226, OCM 11| DSM-3387| no data| no data| S. Worakit et al.| no data| not determined| not applicable| not applicable| no data| WeN4| not applicable| yes| 
Methanobacterium arcticum| no data| do not feed on| no data| do not feed on| do not feed on| no data| V. Shcherbakova et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 144| do not feed on| no data| Rod| negative| yes| no data| Sample isolated from a sample of 2.0 m deep Holocene permafrost sediments, Kolyma lowland, Russia (70°06’N, 154° 04’E).| no data| no data| do not feed on| feeds| negative| 26.6| 0.026| feeds| do not feed on| not applicable| http://ijsb.sgmjournals.org/content/61/1/144.abstract| 45| not determined| 6| 0.5| 0.3| 8.5| do not feed on| do not feed on| 15| 38.1| 3| 0.45| 0| 5.5| no data| no data| no| 0.1| 0.1| 7.2| 6.8| 37| 37| VKM B-2371| VKM B-2371| DSM-19844| no data| no data| V. Shcherbakova et al.| no data| do not feed on| not applicable| yes| do not feed on| M2| not applicable| not applicable| 
Methanobacterium beijingense| no data| no data| do not feed on| do not feed on| do not feed on| no data| K. Ma et al.; 2005; Int. J. Syst. Evol. Microbiol.; vol. 55; p. 325| no data| no data| Rod| negative| yes| no data| Sample isolated from an anaerobic digester for the treatment of beer-manufacture wastewater.| no data| no data| do not feed on| feeds| negative| 14.1| 0.049| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/55/1/325.abstract| 50| not determined| 5| 0.5| 0.5| 8.6| do not feed on| no data| 25| 38.9| 3| 0.4| 0| 6.5| yeast extract| no data| no| 0.05| 0.05| 7.7| 7.2| 37| 37| CGMCC 1.5011| CGMCC 1.5011| DSM-15999| no data| no data| K. Ma et al.| no data| not determined| yes| not applicable| do not feed on| 02 VIII| not applicable| not applicable| 
Methanobacterium bryantii| no data| no data| feeds| feeds| no data| Yeast extract, acetate, cysteine, Fe, W, Ni| W. Balch et al.; 1979; Microbiol. Rev.; vol. 43; p. 260| no data| no data| Rod| positive| yes| no data| Native unpolluted groundwater samples from the Floridan Aquifer near West Palm Beach, Florida (USA).| no data| no data| no data| no data| positive| 19.25| 0.036| feeds| not determined| not applicable| http://mmbr.asm.org/content/43/2/260.long| 50| present| 15| 1| 0.4| 8.8| do not feed on| no data| 25| 35.2| 10| 0.5| 0| 5.8| None| K. Krivushin et al.; 2010; Int. J. Syst. Evol. Microbiol.; vol. 60; p. 455| no| 0| 0| 7.2| 6.9| 39| 37| ATCC 33272, OCM 110, VKM B-1629| ATCC 33272, OCM 110, VKM B-1629| DSM-863| no data| no data| W. Balch et al.| no data| not determined| not applicable| yes| no data| MoH| not applicable| not applicable| 
Methanobacterium congolense| do not feed on| not determined| do not feed on| not determined| do not feed on| no data| N. Cuzin et al.; 2001; Int. J. Syst. Evol. Microbiol.; vol. 51; p. 489| no data| no data| Rod| positive| yes| feeds| Sample from anaerobic digestor treating raw cassava peel.| no data| no data| do not feed on| do not feed on| positive| 7.5| 0.092| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/51/2/489.abstract| 50| absent| 10| 0.5| no data| 8.2| do not feed on| do not feed on| 25| 39.5| 2| 0.4| no data| 5.9| no data| no data| no| 0.017| 0.017| 7.2| 7.2| 42| 37| OCM 786| OCM 786| DSM-7095| no data| not supporting:1-pentanol| N. Cuzin et al.| do not feed on| not determined| yes| not applicable| do not feed on| C| not applicable| not applicable| 
Methanobacterium espanolae| no data| not determined| no data| not determined| do not feed on| Vitamins| G. Patel et al.; 1990; Int. J. Syst. Bacteriol.; vol. 40; p. 12| no data| no data| Rod| positiv| yes| no data| Sample from the anoxic zone of the primary sludge of the E. B. Eddy Forest Products Ltd. (Espanola, Ontario, Canada) bleach kraft mill.| no data| no data| no data| do not feed on| positiv| 9.9| 0.07| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/40/1/12.abstract| 50| absent| 6| 0.8| no data| 7| do not feed on| no data| 15| 34| 6| 0.8| no data| 4.6| Vitamins| no data| no| no data| no data| 6.2| 5.6| 35| 35| ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228| ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228| DSM-5982| no data| not supporting:butyrate, pyruvate| G. Patel et al.| no data| not determined| yes| not applicable| do not feed on| GP9| not applicable| not applicable| 
Methanobacterium ferruginis| no data| no data| not determined| not determined| do not feed on| no data| K. Mori et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 138| no data| no data| Rod| variable| yes| feeds| Sample from the interior surface of a pipe transporting natural gas- containing brine in the southern Kanto gas field in Japan.| no data| no data| do not feed on| do not feed on| variable| 18.5| 0.037| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/1/138.abstract| 45| not determined| 3.7| 0.3| 1.2| 9| do not feed on| do not feed on| 20| 37.6| 2.3| 0.3| 0| 5.5| Vitamins| no data| no| 0.34| 0.34| 7.5| 6| 40| 40| NBRC 105197| NBRC 105197| DSM-21974| 1| no data| K. Mori et al.| no data| not determined| not applicable| not applicable| no data| Mic6c05| not applicable| not applicable| 
Methanobacterium flexile| no data| no data| do not feed on| do not feed on| do not feed on| no data| J. Zhu et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 2974| no data| no data| Cocci| positiv| yes| no data| Sediment samples collected from Gahai lake, Qaidam Basin.| no data| no data| do not feed on| feeds| positiv| 21.6| 0.032| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/12/2974.abstract| 50| absent| 5| 0.5| 0.1| 9.5| do not feed on| no data| 10| 37.3| 2| 0.3| 0| 6.5| yeast extract| no data| no| 0| 0| 9.5| 6.5| 38| 35| JCM 15416, CGMCC AS 1.5092| JCM 15416, CGMCC AS 1.5092| DSM-25939| no data| no data| J. Zhu et al.| no data| not determined| not applicable| not applicable| do not feed on| GH| not applicable| yes| 
Methanobacterium formicicum| no data| no data| feeds| feeds| no data| Acetyate, cysteine| M. Bryant et al.; 1987; Int. J. Syst. Bacteriol.; vol. 37; p. 171| no data| no data| Rod| positive| yes| no data| Sample obtained from a domestic sewage sludge digestor in Urbana, Ilinois.| no data| no data| no data| feeds| positive| no data| no data| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/37/2/171| 50| not determined| 15| 0.8| no data| no data| not determined| no data| 25| 38| 2| 0.4| no data| no data| no data| no data| nd| 0.25| 0.25| 6.8| 6.6| 45| 37| ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957| ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957| DSM-1535| no data| no data| C. Schnellen| no data| not determined| yes| not applicable| no data| MF| not applicable| not applicable| 
