"Name","GrowthDoublingTime","GrowthRate","maximalGrowthTemperature","maximumcellLength","maximumcellWidth","maximumGrowthNACL","maximumGrowthPH","minimalGrowthTemperature","minimumcellGcContent","minimumcellLength","minimumcellWidth","minimumGrowthNACL","minimumGrowthPH","optimalGrowthNACLMaximal","optimalGrowthNACLMinimal","optimalGrowthPHMaximal","optimalGrowthPHMinimal","optimalGrowthTemperatureMaximal","optimalGrowthTemperatureMinimal"
"Methanobacterium aarhusense",NA,NA,45,18,0.7,0.9,9,15,34.9,5,0.7,0.05,6,0.9,0.05,8,7.5,45,45
"Methanobacterium alcaliphilum",10.2,0.068,45,25,0.6,NA,9.9,25,57,2,0.5,0,7,0.012,0.012,9.1,8.1,37,37
"Methanobacterium arcticum",26.6,0.026,45,6,0.5,0.3,8.5,15,38.1,3,0.45,0,5.5,0.1,0.1,7.2,6.8,37,37
"Methanobacterium beijingense",14.1,0.049,50,5,0.5,0.5,8.6,25,38.9,3,0.4,0,6.5,0.05,0.05,7.7,7.2,37,37
"Methanobacterium bryantii",19.25,0.036,50,15,1,0.4,8.8,25,35.2,10,0.5,0,5.8,0,0,7.2,6.9,39,37
"Methanobacterium congolense",7.5,0.092,50,10,0.5,NA,8.2,25,39.5,2,0.4,NA,5.9,0.017,0.017,7.2,7.2,42,37
"Methanobacterium espanolae",9.9,0.07,50,6,0.8,NA,7,15,34,6,0.8,NA,4.6,NA,NA,6.2,5.6,35,35
"Methanobacterium ferruginis",18.5,0.037,45,3.7,0.3,1.2,9,20,37.6,2.3,0.3,0,5.5,0.34,0.34,7.5,6,40,40
"Methanobacterium flexile",21.6,0.032,50,5,0.5,0.1,9.5,10,37.3,2,0.3,0,6.5,0,0,9.5,6.5,38,35
"Methanobacterium formicicum",NA,NA,50,15,0.8,NA,NA,25,38,2,0.4,NA,NA,0.25,0.25,6.8,6.6,45,37
"Methanobacterium ivanovii",NA,NA,55,1.2,0.8,NA,8.5,15,36.6,1.2,0.5,NA,6.5,0.19,0.19,7.4,7,45,45
"Methanobacterium kanagiense",22.3,0.031,45,5,0.5,1.2,9.6,15,39.3,1.6,0.35,0,6.5,0.086,0.086,8.5,7.5,40,40
"Methanobacterium lacus",22,0.032,41,15,0.4,0.4,8.5,14,37,2,0.2,0,5,0.1,0.1,6.5,6.5,30,30
"Methanobacterium movens",25.66,0.027,50,5,0.5,0.3,9,10,39.5,2,0.4,0,6,0,0,9,6,38,35
"Methanobacterium movilense",79.2,0.009,44,4,0.7,0.3,9.9,0,33,3.5,0.6,0.02,6.2,0.08,0.08,7.4,7.4,33,33
"Methanobacterium oryzae",NA,NA,45,10,0.4,0.427789185489,9,15,31,3,0.3,0,5.5,0,0,7,7,40,40
"Methanobacterium palustre",18,0.039,45,5,0.5,0.308008213552,NA,20,34.3,2.5,0.5,0,NA,NA,NA,7,7,37,33
"Methanobacterium petrolearium",39.5,0.018,40,4.7,0.3,1.2,9,20,38.3,2.4,0.3,0,5.5,0,0,6.5,6.5,35,35
"Methanobacterium subterraneum",3.89,0.178,40,1.2,0.15,1.4,9.2,3.5,54.4,0.6,0.1,0,6.75,1.25,0.2,8.8,7.8,40,20
"Methanobacterium thermaggregans",3.5,0.198,70,8,0.4,0.171115674196,9.5,50,42,4,0.4,0,5.5,0,0,7.5,7,65,65
"Methanobacterium uliginosum",NA,NA,45,4,0.6,NA,8.5,15,33.8,2,0.2,0,6,NA,NA,8,6,40,40
"Methanobacterium veterum",23.1,0.03,46,8,0.45,0.3,9.4,10,33.8,2,0.4,0,5.2,0.05,0.05,7.2,7,28,28
"Methanobrevibacter acididurans",16.5,0.042,37,0.5,0.5,NA,7.5,25,NA,0.3,0.3,NA,5,NA,NA,6,6,35,35
"Methanobrevibacter arboriphilus",13,0.053,45,2.7,0.6,NA,NA,10,27.5,2.7,0.6,NA,NA,NA,NA,8,7.5,37,30
"Methanobrevibacter boviskoreani",NA,NA,NA,1.8,0.6,NA,NA,NA,28,1.5,0.6,NA,NA,NA,NA,7,6.5,40,37
"Methanobrevibacter curvatus",40,0.017,30,1.6,0.34,NA,8.5,20,NA,1.6,0.34,NA,6.5,NA,NA,7.1,7.1,30,30
"Methanobrevibacter cuticularis",35,0.02,37,1.2,0.4,NA,8.5,10,NA,1.2,0.4,NA,6.5,NA,NA,7.7,7.7,37,37
"Methanobrevibacter filiformis",37,0.019,33.5,4,0.23,NA,7.5,10,NA,4,0.23,NA,6,NA,NA,7.2,7,30,30
"Methanobrevibacter gottschalkii",NA,NA,NA,0.9,0.7,0.427789185489,NA,NA,29,0.9,0.7,0,NA,NA,NA,7,7,37,37
"Methanobrevibacter millerae",NA,NA,43,1.2,0.5,0.444900752909,10,33,32,0.5,0.5,0,5.5,NA,NA,8,7,42,36
"Methanobrevibacter olleyae",NA,NA,42,1,0.3,0.444900752909,10,28,28,0.3,0.3,0,6,NA,NA,7.5,7.5,42,28
"Methanobrevibacter oralis",15,0.046,39,1.2,0.5,0.2,8,25,28,0.7,0.4,0,6.2,0.1,0.01,7.4,6.9,37,35
"Methanobrevibacter ruminantium",NA,NA,NA,1.7,0.7,NA,NA,NA,32.6,0.8,0.7,NA,NA,NA,NA,6.8,6.3,33,33
"Methanobrevibacter smithii",NA,NA,NA,1.5,0.7,NA,NA,NA,31,1,0.5,NA,NA,NA,NA,7.4,6.9,39,37
"Methanobrevibacter thaueri",NA,NA,NA,1.2,0.5,NA,NA,NA,38,0.6,0.5,0,NA,NA,NA,7,7,37,37
"Methanobrevibacter woesei",NA,NA,NA,1,0.6,0.427789185489,NA,NA,31,1,0.6,0,NA,NA,NA,7,7,37,37
"Methanobrevibacter wolinii",NA,NA,NA,1.4,0.6,NA,NA,NA,24.2,1,0.6,0,NA,NA,NA,7,7,37,37
"Methanocalculus chunghsingensis",33,0.021,45,1.6,1.6,2.05338809035,8,20,50,1,1,0,6,0.171115674196,0.171115674196,7.2,7.2,37,37
"Methanocalculus halotolerans",12,0.058,45,1,1,2.13894592745,8.4,28,55,1,1,0,7,0.855578370979,0.855578370979,7.6,7.6,38,38
"Methanocalculus natronophilus",NA,NA,45,1.2,1.2,3.3,10.2,14,50.2,0.2,0.2,0.9,8,1.9,1.4,9.5,9,37,30
"Methanocalculus pumilus",12,0.058,45,1,1,1.19780971937,9,25,51.9,0.8,0.8,0,5.5,0.171115674196,0.171115674196,7,7,35,35
"Methanocalculus taiwanensis",7.1,0.098,45,1.4,1.4,0.684462696783,8.3,28,NA,0.9,0.9,0,5.6,0.0855578370979,0.0855578370979,6.7,6.7,37,37
"Methanocaldococcus fervens",0.33,2.1,92,2,2,0.855578370979,7.6,48,33,1,1,0.0855578370979,5.5,0.513347022587,0.513347022587,6.5,6.5,85,85
"Methanocaldococcus indicus",0.5,1.38,86,3,3,0.856,6.7,50,30.7,1,1,0.257,5.5,0.513,0.513,6.5,6.5,85,85
"Methanocaldococcus infernus",0.513,1.35,91,3,3,0.962525667351,7,55,33,1,1,0.213894592745,5.25,0.427789185489,0.427789185489,6.5,6.5,85,85
"Methanocaldococcus jannaschii",0.433,1.6,85,1.5,1.5,0.9,7,50,31,1.5,1.5,0.2,5.2,0.5,0.5,6,6,85,85
"Methanocaldococcus villosus",0.75,0.942,90,2,2,0.941136208077,7,55,30,1,1,0.0855578370979,5.5,0.427789185489,0.427789185489,6.5,6.5,80,80
"Methanocaldococcus vulcanius",0.66,1.05,89,3,3,0.962525667351,7,49,31,1,1,0.106947296372,5.25,0.427789185489,0.427789185489,6.5,6.5,80,80
"Methanocella arvoryzae",8,0.087,55,2.8,0.7,0.342231348392,7.8,37,56.7,1.3,0.4,0,6,0,0,7,7,45,45
"Methanocella conradii",6.3,0.11,60,2.8,0.3,0.0855578370979,7.2,37,52.7,1.4,0.2,0,6.4,0,0,6.8,6.8,55,50
"Methanocella paludicola",100.8,0.007,40,2.4,0.6,0.0171115674196,7.8,25,56.6,1.8,0.3,0,6.5,NA,NA,7,7,37,35
"Methanococcoides alaskense",NA,NA,28.4,2,1.5,0.7,NA,2.3,41.9,2,1.5,0.1,NA,0.4,0.3,7.5,6.3,23.6,23.6
"Methanococcoides burtonii",NA,NA,29.5,NA,NA,0.5,8.2,1.7,39.6,NA,NA,0.2,6.8,NA,NA,NA,NA,23.4,23.4
"Methanococcoides methylutens",5.2,0.133,40,3,1,1.2,8,15,42,3,1,0.043,6,0.64,0.24,7.5,7,35,30
"Methanococcoides vulcani",NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,NA,0.5,0.5,7,7,30,30
"Methanococcus aeolicus",1.38,0.5,50,2,2,1,7.5,10,32,1.5,1.5,0.05,4.3,0.4,0.2,7,7,46,46
"Methanococcus maripaludis",2,0.35,85,1.5,1.5,0.9,7,50,31,1.5,1.5,0.2,5.2,0.5,0.5,6,6,85,85
"Methanococcus vannielii",NA,NA,NA,1,1,NA,9.2,NA,33,1,1,NA,7.4,NA,NA,8,8,30,30
"Methanococcus voltae",3,0.231,45,3,3,0.82135523614,9,21,30,0.5,0.5,0.205338809035,6,0.684462696783,0.342231348392,7.4,7,38,38
"Methanocorpusculum aggregans",8,0.087,40,2,2,0.342231348392,8,25,52,0.5,0.5,0,6,0.00342231348392,0.00342231348392,7,6.5,35,35
"Methanocorpusculum bavaricum",5,0.139,40,1,1,NA,NA,15,51.3,1,1,NA,NA,NA,NA,7,7,37,37
"Methanocorpusculum labreanum",9.2,0.075,40,2,2,0.513347022587,7.5,25,50,0.4,0.4,0,6.5,0,0,7,7,37,37
"Methanocorpusculum parvum",8,0.087,40,1,1,0.80424366872,NA,20,48.5,1,1,0,NA,0,0,7.5,6.8,37,37
"Methanocorpusculum sinense",20,0.035,45,1,1,NA,NA,15,50,1,1,NA,NA,NA,NA,7,7,30,30
"Methanoculleus bourgensis",18,0.039,50,2,2,0.342231348392,8,30,59,1,1,0,5.5,0.0855578370979,0.0855578370979,6.7,6.7,37,37
"Methanoculleus chikugoensis",46,0.015,40,2,2,0.3,8,15,62.2,1,1,0,6.7,0.1,0.1,7.2,6.7,25,25
"Methanoculleus horonobensis",6.93,0.1,45,1.6,1.6,1.3,8.2,25,62.9,0.7,0.7,0,5.8,0.2,0.1,6.8,6.7,42,37
