"PC1","PC2","Name","GrowthDoublingTime","GrowthRate","maximalGrowthTemperature","maximumcellLength","maximumcellWidth","maximumGrowthNACL","maximumGrowthPH","minimalGrowthTemperature","minimumcellGcContent","minimumcellLength","minimumcellWidth","minimumGrowthNACL","minimumGrowthPH","optimalGrowthNACLMaximal","optimalGrowthNACLMinimal","optimalGrowthPHMaximal","optimalGrowthPHMinimal","optimalGrowthTemperatureMaximal","optimalGrowthTemperatureMinimal","otherEnv","X1butanol","X2.butanol","X2methylpropan1ol","X2propanol","acetate","AdditionalGrowthRequierments","author","butanol","carbonMonoxide","cellShape","creator","creatorMail","cyclopentanol","descriptionEnv","dimethylamin","dimethylSulfide","ethanol","formate","gramReaction","GrowthDoublingTime.1","GrowthRate.1","h2Andco2","h2andmethanol","intestinalTracksEnv","link","maximalGrowthTemperature.1","maximumcellGcContent","maximumcellLength.1","maximumcellWidth.1","maximumGrowthNACL.1","maximumGrowthPH.1","methanol","methylamin","minimalGrowthTemperature.1","minimumcellGcContent.1","minimumcellLength.1","minimumcellWidth.1","minimumGrowthNACL.1","minimumGrowthPH.1","MinimumGrowthRequierments","nomenclaturalPublication","numberPublications","optimalGrowthNACLMaximal.1","optimalGrowthNACLMinimal.1","optimalGrowthPHMaximal.1","optimalGrowthPHMinimal.1","optimalGrowthTemperatureMaximal.1","optimalGrowthTemperatureMinimal.1","otherATTCStrainNumbers","otherCollections","otherDSMStrainNumbers","otherEnv.1","otherSubstrate","pmidPublication","propanol","propionate","reactorsEnv","soilEnv","trimethylamin","typeStrain","volcanicEnv","waterEnv"
-22.1590703292024,-0.0534159466528448,"Methanobacterium aarhusense",NA,NA,45,18,0.7,0.9,9,15,34.9,5,0.7,0.05,6,0.9,0.05,8,7.5,45,45,NA,"no data","no data","no data","do not feed on","do not feed on","no data","A.Shlimon et al.; 2004; Int. J. Syst. Evol. Microbiol.; vol. 54; p. 759","no data","do not feed on","Rod","positive","yes","no data","Sediment cores collected in Aarhus Bay, a semi-enclosed embayment on the east coast of Jutland, Denmark (56° 09' N, 10° 19' E) ","no data","do not feed on","do not feed on","do not feed on","positive","no data","no data","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/54/3/759.abstract","45","absent","18","0.7","0.9","9","do not feed on","not determined","15","34.9","5","0.7","0.05","6","no data","no data","no","0.9","0.05","8","7.5","45","45","ATCC BAA-828","ATCC BAA-828","DSM-15219","no data","not supporting:methane tiol","A.Shlimon et al.","no data","not determined","not applicable","not applicable","do not feed on","H2-LR","not applicable","yes"
-17.642280627242,0.917542012734837,"Methanobacterium alcaliphilum",10.2,0.068,45,25,0.6,NA,9.9,25,57,2,0.5,0,7,0.012,0.012,9.1,8.1,37,37,NA,"no data","no data","no data","no data","do not feed on","no data","S. Worakit et al.; 1986; Int. J. Syst. Bacteriol.; vol. 36; p. 380","no data","no data","Rod","negative","yes","no data","Sediment samples collected from four Egyptian lakes of the Wadi el Natrun.","no data","no data","no data","do not feed on","negative","10.2","0.068","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/36/3/380.abstract","45","not determined","25","0.6","no data","9.9","not determined","no data","25","57","2","0.5","0","7","tripticase peptone/yeast extract","no data","no","0.012","0.012","9.1","8.1","37","37","ATCC 43379, NBRC 105226, OCM 11","ATCC 43379, NBRC 105226, OCM 11","DSM-3387","no data","no data","S. Worakit et al.","no data","not determined","not applicable","not applicable","no data","WeN4","not applicable","yes"
14.3365610674702,-3.4691959456558,"Methanobacterium arcticum",26.6,0.026,45,6,0.5,0.3,8.5,15,38.1,3,0.45,0,5.5,0.1,0.1,7.2,6.8,37,37,NA,"no data","do not feed on","no data","do not feed on","do not feed on","no data","V. Shcherbakova et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 144","do not feed on","no data","Rod","negative","yes","no data","Sample isolated from a sample of 2.0 m deep Holocene permafrost sediments, Kolyma lowland, Russia (70°06’N, 154° 04’E).","no data","no data","do not feed on","feeds","negative","26.6","0.026","feeds","do not feed on","not applicable","http://ijsb.sgmjournals.org/content/61/1/144.abstract","45","not determined","6","0.5","0.3","8.5","do not feed on","do not feed on","15","38.1","3","0.45","0","5.5","no data","no data","no","0.1","0.1","7.2","6.8","37","37","VKM B-2371","VKM B-2371","DSM-19844","no data","no data","V. Shcherbakova et al.","no data","do not feed on","not applicable","yes","do not feed on","M2","not applicable","not applicable"
-23.377489889365,-0.269657292004336,"Methanobacterium beijingense",14.1,0.049,50,5,0.5,0.5,8.6,25,38.9,3,0.4,0,6.5,0.05,0.05,7.7,7.2,37,37,NA,"no data","no data","do not feed on","do not feed on","do not feed on","no data","K. Ma et al.; 2005; Int. J. Syst. Evol. Microbiol.; vol. 55; p. 325","no data","no data","Rod","negative","yes","no data","Sample isolated from an anaerobic digester for the treatment of beer-manufacture wastewater.","no data","no data","do not feed on","feeds","negative","14.1","0.049","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/55/1/325.abstract","50","not determined","5","0.5","0.5","8.6","do not feed on","no data","25","38.9","3","0.4","0","6.5","yeast extract","no data","no","0.05","0.05","7.7","7.2","37","37","CGMCC 1.5011","CGMCC 1.5011","DSM-15999","no data","no data","K. Ma et al.","no data","not determined","yes","not applicable","do not feed on","02 VIII","not applicable","not applicable"
-2.83155459128213,-0.274005614707878,"Methanobacterium bryantii",19.25,0.036,50,15,1,0.4,8.8,25,35.2,10,0.5,0,5.8,0,0,7.2,6.9,39,37,NA,"no data","no data","feeds","feeds","no data","Yeast extract, acetate, cysteine, Fe, W, Ni","W. Balch et al.; 1979; Microbiol. Rev.; vol. 43; p. 260","no data","no data","Rod","positive","yes","no data","Native unpolluted groundwater samples from the Floridan Aquifer near West Palm Beach, Florida (USA).","no data","no data","no data","no data","positive","19.25","0.036","feeds","not determined","not applicable","http://mmbr.asm.org/content/43/2/260.long","50","present","15","1","0.4","8.8","do not feed on","no data","25","35.2","10","0.5","0","5.8","None","K. Krivushin et al.; 2010; Int. J. Syst. Evol. Microbiol.; vol. 60; p. 455","no","0","0","7.2","6.9","39","37","ATCC 33272, OCM 110, VKM B-1629","ATCC 33272, OCM 110, VKM B-1629","DSM-863","no data","no data","W. Balch et al.","no data","not determined","not applicable","yes","no data","MoH","not applicable","not applicable"
9.83213225656843,-3.86165870756128,"Methanobacterium congolense",7.5,0.092,50,10,0.5,NA,8.2,25,39.5,2,0.4,NA,5.9,0.017,0.017,7.2,7.2,42,37,NA,"do not feed on","not determined","do not feed on","not determined","do not feed on","no data","N. Cuzin et al.; 2001; Int. J. Syst. Evol. Microbiol.; vol. 51; p. 489","no data","no data","Rod","positive","yes","feeds","Sample from anaerobic digestor treating raw cassava peel.","no data","no data","do not feed on","do not feed on","positive","7.5","0.092","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/51/2/489.abstract","50","absent","10","0.5","no data","8.2","do not feed on","do not feed on","25","39.5","2","0.4","no data","5.9","no data","no data","no","0.017","0.017","7.2","7.2","42","37","OCM 786","OCM 786","DSM-7095","no data","not supporting:1-pentanol","N. Cuzin et al.","do not feed on","not determined","yes","not applicable","do not feed on","C","not applicable","not applicable"
-20.0445494225335,0.444364001464024,"Methanobacterium espanolae",9.9,0.07,50,6,0.8,NA,7,15,34,6,0.8,NA,4.6,NA,NA,6.2,5.6,35,35,NA,"no data","not determined","no data","not determined","do not feed on","Vitamins","G. Patel et al.; 1990; Int. J. Syst. Bacteriol.; vol. 40; p. 12","no data","no data","Rod","positiv","yes","no data","Sample from the anoxic zone of the primary sludge of the E. B. Eddy Forest Products Ltd. (Espanola, Ontario, Canada) bleach kraft mill.","no data","no data","no data","do not feed on","positiv","9.9","0.07","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/40/1/12.abstract","50","absent","6","0.8","no data","7","do not feed on","no data","15","34","6","0.8","no data","4.6","Vitamins","no data","no","no data","no data","6.2","5.6","35","35","ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228","ATCC BAA-1073, OCM 178, NRC 5912, NBRC 105228","DSM-5982","no data","not supporting:butyrate, pyruvate","G. Patel et al.","no data","not determined","yes","not applicable","do not feed on","GP9","not applicable","not applicable"
-22.0929758633954,0.190795958356898,"Methanobacterium ferruginis",18.5,0.037,45,3.7,0.3,1.2,9,20,37.6,2.3,0.3,0,5.5,0.34,0.34,7.5,6,40,40,1,"no data","no data","not determined","not determined","do not feed on","no data","K. Mori et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 138","no data","no data","Rod","variable","yes","feeds","Sample from the interior surface of a pipe transporting natural gas- containing brine in the southern Kanto gas field in Japan.","no data","no data","do not feed on","do not feed on","variable","18.5","0.037","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/61/1/138.abstract","45","not determined","3.7","0.3","1.2","9","do not feed on","do not feed on","20","37.6","2.3","0.3","0","5.5","Vitamins","no data","no","0.34","0.34","7.5","6","40","40","NBRC 105197","NBRC 105197","DSM-21974","1","no data","K. Mori et al.","no data","not determined","not applicable","not applicable","no data","Mic6c05","not applicable","not applicable"
-22.1639966764798,-0.00510677712199548,"Methanobacterium flexile",21.6,0.032,50,5,0.5,0.1,9.5,10,37.3,2,0.3,0,6.5,0,0,9.5,6.5,38,35,NA,"no data","no data","do not feed on","do not feed on","do not feed on","no data","J. Zhu et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 2974","no data","no data","Cocci","positiv","yes","no data","Sediment samples collected from Gahai lake, Qaidam Basin.","no data","no data","do not feed on","feeds","positiv","21.6","0.032","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/61/12/2974.abstract","50","absent","5","0.5","0.1","9.5","do not feed on","no data","10","37.3","2","0.3","0","6.5","yeast extract","no data","no","0","0","9.5","6.5","38","35","JCM 15416, CGMCC AS 1.5092","JCM 15416, CGMCC AS 1.5092","DSM-25939","no data","no data","J. Zhu et al.","no data","not determined","not applicable","not applicable","do not feed on","GH","not applicable","yes"
16.2192710401241,-0.852667234072344,"Methanobacterium formicicum",NA,NA,50,15,0.8,NA,NA,25,38,2,0.4,NA,NA,0.25,0.25,6.8,6.6,45,37,NA,"no data","no data","feeds","feeds","no data","Acetyate, cysteine","M. Bryant et al.; 1987; Int. J. Syst. Bacteriol.; vol. 37; p. 171","no data","no data","Rod","positive","yes","no data","Sample obtained from a domestic sewage sludge digestor in Urbana, Ilinois.","no data","no data","no data","feeds","positive","no data","no data","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/37/2/171","50","not determined","15","0.8","no data","no data","not determined","no data","25","38","2","0.4","no data","no data","no data","no data","nd","0.25","0.25","6.8","6.6","45","37","ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957","ATCC 33274, JCM 10132, NBRC 100475, OCM 55, VKM B-1957","DSM-1535","no data","no data","C. Schnellen","no data","not determined","yes","not applicable","no data","MF","not applicable","not applicable"
-6.03673034947496,0.145420077878657,"Methanobacterium ivanovii",NA,NA,55,1.2,0.8,NA,8.5,15,36.6,1.2,0.5,NA,6.5,0.19,0.19,7.4,7,45,45,NA,"no data","no data","no data","do not feed on","no data","no data","M. Jain et al.; 1987; Syst. Appl. Microbiol.; vol. 9; p. 77 ","no data","no data","Rod","not determined","yes","no data","Sample from rock core.","no data","no data","no data","do not feed on","not determined","no data","no data","feeds","not determined","not applicable","http://www.sciencedirect.com/science/article/pii/S0723202087800590","55","unavailable","1.2","0.8","no data","8.5","not determined","no data","15","36.6","1.2","0.5","no data","6.5","no data","no data","unavailable","0.19","0.19","7.4","7","45","45","ATCC BAA-930, OCM 140, VKM B-1634","ATCC BAA-930, OCM 140, VKM B-1634","DSM-2611","no data","no data","M. Jain et al.","no data","not determined","not applicable","not applicable","no data","Ivanov","not applicable","not applicable"
-22.7378017187344,-0.0780700385391893,"Methanobacterium kanagiense",22.3,0.031,45,5,0.5,1.2,9.6,15,39.3,1.6,0.35,0,6.5,0.086,0.086,8.5,7.5,40,40,NA,"no data","no data","no data","no data","no data","no data","K. Kitamuraet al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 1246","no data","no data","Rod","variable","yes","no data","Sample from a rice field plot at Kanagi Farm of the Teaching and Research Center for Bio-coexistence, University Farm, Faculty of Agriculture and Life Science, Hirosaki University.","no data","no data","no data","no data","variable","22.3","0.031","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/61/6/1246.abstract","45","present","5","0.5","1.2","9.6","do not feed on","no data","15","39.3","1.6","0.35","0","6.5","no data","no data","no","0.086","0.086","8.5","7.5","40","40","JCM 15797","JCM 15797","DSM-22026","no data","no data"," K. Kitamuraet al.","no data","not determined","not applicable","yes","no data","169","not applicable","not applicable"
4.33056143372874,-3.94971508813503,"Methanobacterium lacus",22,0.032,41,15,0.4,0.4,8.5,14,37,2,0.2,0,5,0.1,0.1,6.5,6.5,30,30,NA,"no data","no data","do not feed on","do not feed on","do not feed on","no data","G. Borrel et al.; 2012; Int. J. Syst. Evol. Microbiol.; vol. 62; p. 1625","no data","no data","Rod","negative","yes","no data","Sample isolated from the profundal sediment of the meromictic Lake Pavin, France.","no data","no data","no data","do not feed on","negative","22","0.032","feeds","feeds","not applicable","http://ijs.sgmjournals.org/content/62/Pt_7/1625.abstract","41","not determined","15","0.4","0.4","8.5","not determined","do not feed on","14","37","2","0.2","0","5","no data","no data","no","0.1","0.1","6.5","6.5","30","30","JCM 17760","JCM 17760","DSM-24406","no data","no data","G. Borrel et al.","no data","feeds","not applicable","not applicable","no data","17A1","not applicable","yes"
-22.14567190426,0.0804918662185581,"Methanobacterium movens",25.66,0.027,50,5,0.5,0.3,9,10,39.5,2,0.4,0,6,0,0,9,6,38,35,NA,"no data","no data","do not feed on","do not feed on","do not feed on","no data","J. Zhu et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 2974","no data","no data","Rod","positiv","yes","no data","Sediment samples collected from Tuosu lake, Qaidam Basin.","no data","no data","do not feed on","do not feed on","positiv","25.66","0.027","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/61/12/2974.abstract","50","present","5","0.5","0.3","9","do not feed on","no data","10","39.5","2","0.4","0","6","yeast extract","no data","yes","0","0","9","6","38","35","JCM 15415, CGMCC AS 1.5093","JCM 15415, CGMCC AS 1.5093","DSM-25945","no data","no data","J. Zhu et al.","no data","not determined","not applicable","not applicable","do not feed on","TS-2","not applicable","yes"
-22.1097299262513,0.178478701319607,"Methanobacterium oryzae",NA,NA,45,10,0.4,0.427789185489,9,15,31,3,0.3,0,5.5,0,0,7,7,40,40,NA,"no data","no data","do not feed on","do not feed on","do not feed on","no data","C. Joulian et al.; 2000; Int. J. Syst. Evol. Microbiol.; vol. 50; p. 525","no data","no data","Rod","not determined","yes","no data","Sample from a rice field soil in the Philippines (Pila area, Luzon Province).","no data","no data","no data","feeds","not determined","no data","no data","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/50/2/525.abstract","45","not determined","10","0.4","0.427789185489","9","not determined","no data","15","31","3","0.3","0","5.5","no data","no data","no","0","0","7","7","40","40","no data","no data","DSM-11106","no data","no data","C. Joulian et al.","no data","not determined","not applicable","yes","no data","FPi","not applicable","not applicable"
-19.766372195196,0.496763326243387,"Methanobacterium palustre",18,0.039,45,5,0.5,0.308008213552,NA,20,34.3,2.5,0.5,0,NA,NA,NA,7,7,37,33,NA,"no data","not determined","no data","feeds","do not feed on","no data","G. Zellner et al.; 1988; Arch. Microbiol.; vol. 151; p. 1","no data","no data","Rod","positiv","yes","no data","Sample isolated from marshland of the Sippenauer Moor, Germany (48°53' N 11°57' E).","do not feed on","no data","no data","feeds","positiv","18","0.039","feeds","not determined","not applicable","http://link.springer.com/article/10.1007%2FBF00444660","45","not determined","5","0.5","0.308008213552","no data","not determined","do not feed on","20","34.3","2.5","0.5","0","no data","no data","no data","no","no data","no data","7","7","37","33","OCM 238","OCM 238","DSM-3108","no data","no data","G. Zellner et al.","no data","not determined","not applicable","yes","do not feed on","F","not applicable","not applicable"
-22.0407370966861,0.20299612443313,"Methanobacterium petrolearium",39.5,0.018,40,4.7,0.3,1.2,9,20,38.3,2.4,0.3,0,5.5,0,0,6.5,6.5,35,35,1,"no data","no data","do not feed on","do not feed on","do not feed on","no data","K. Mori et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 138","no data","no data","Rod","variable","yes","do not feed on","Sample from sludge deposited in a crude oil storage tank in Japan.","no data","no data","do not feed on","do not feed on","variable","39.5","0.018","feeds","not determined","not applicable","http://ijs.sgmjournals.org/content/61/1/138.abstract","40","not determined","4.7","0.3","1.2","9","do not feed on","do not feed on","20","38.3","2.4","0.3","0","5.5","acetate, yeast extract","no data","no","0","0","6.5","6.5","35","35","NBRC 105198","NBRC 105198","DSM-22353","1","no data","K. Mori et al.","no data","not determined","not applicable","not applicable","no data","Mic5c12","not applicable","not applicable"
-22.0447288234609,0.167921661340116,"Methanobacterium subterraneum",3.89,0.178,40,1.2,0.15,1.4,9.2,3.5,54.4,0.6,0.1,0,6.75,1.25,0.2,8.8,7.8,40,20,NA,"do not feed on","no data","do not feed on","no data","do not feed on","None","S. Kotelnikova et al.; 1998; Int. J. Syst. Evol. Microbiol.; vol. 48; p. 357","no data","no data","Rod","not determined","yes","no data","Sample of granitic rock groundwater from the Äspö hard rock laboratory tunnel, South-Eastern Sweden (depths 68 m, 409 m and 420 m).","no data","do not feed on","do not feed on","feeds","not determined","3.89","0.178","feeds","do not feed on","not applicable","http://ijs.sgmjournals.org/content/48/2/357.abstract","40","not determined","1.2","0.15","1.4","9.2","do not feed on","no data","3.5","54.4","0.6","0.1","0","6.75","None","no data","no","1.25","0.2","8.8","7.8","40","20","ATCC 700657","ATCC 700657","DSM-11074","no data","not supporting: pyruvate, fructose, glucose, ","S. Kotelnikova et al.","do not feed on","do not feed on","not applicable","not applicable","do not feed on","A8p","not applicable","yes"
-22.6536508354742,-0.116843155921545,"Methanobacterium thermaggregans",3.5,0.198,70,8,0.4,0.171115674196,9.5,50,42,4,0.4,0,5.5,0,0,7.5,7,65,65,NA,"no data","no data","no data","no data","do not feed on","yeast extract","K. Blotevogel et al.; 1985; Arch. Microbiol.; vol. 142; p. 218","no data","no data","Rod","negative","yes","no data","Sample of cattle pasture mud. ","do not feed on","do not feed on","do not feed on","do not feed on","negative","3.5","0.198","feeds","not determined","not applicable","http://link.springer.com/article/10.1007%2FBF00693393","70","absent","8","0.4","0.171115674196","9.5","not determined","do not feed on","50","42","4","0.4","0","5.5","None","no data","no","0","0","7.5","7","65","65","ATCC 43168, OCM 141, VKM B-1959","ATCC 43168, OCM 141, VKM B-1959","DSM-3266","no data","no data","K. Blotevogel et al.","no data","not determined","not applicable","yes","do not feed on","DSM3266","not applicable","not applicable"
